type,gene
Goblet,Ddost
Goblet,Mesdc1
Goblet,4930404N11Rik
Goblet,Sh3bgrl2
Goblet,Golgb1
Goblet,B3gnt3
Goblet,Dcbld2
Goblet,Spcs2
Goblet,Sec61a1
Goblet,Cant1
Goblet,Tpcn1
Goblet,Gorasp2
Goblet,Pmm2
Goblet,Ano7
Goblet,Rrbp1
Goblet,Pacsin1
Goblet,Srp72
Goblet,Tnk2
Goblet,Eif2ak4
Goblet,Sec22b
Goblet,Tars
Goblet,Slc1a5
Goblet,Copb1
Goblet,Yif1b
Goblet,Etnk1
Goblet,Ramp1
Goblet,Cltb
Goblet,Slc22a15
Goblet,Kif13a
Goblet,Yipf3
Goblet,Ift20
Goblet,Ufl1
Goblet,Tm9sf2
Goblet,Syngr2
Goblet,Nucb1
Goblet,Gmds
Goblet,Sec61g
Goblet,Rfc1
Goblet,C2cd2l
Goblet,Smim3
Goblet,Hsp90b1
Goblet,Srp9
Goblet,Ost4
Goblet,Tmem183a
Goblet,Dnajb11
Goblet,Tom1l1
Goblet,Sh3pxd2a
Goblet,Ier3ip1
Paneth,Defa23
Paneth,Gm15284
Paneth,Defa17
Paneth,Defa-rs7
Paneth,AY761184
Paneth,Defa-rs1
Paneth,Gm7849
Paneth,Gm14851
Paneth,Defa3
Paneth,Defa22
Paneth,Gm21498
Paneth,Defa26
Paneth,Defa4
Paneth,Defa20
Paneth,Defa25
Paneth,Gm14850
Paneth,Defa5
Paneth,Defa24
Paneth,Gm15292
Paneth,Defa-ps1
Paneth,Gm15315
Paneth,Mptx2
Paneth,Gm15299
Paneth,Gm10104
Paneth,Lyz1
Paneth,Clps
Paneth,Defa21
Paneth,Reg4
Paneth,Pnliprp2
Paneth,Defa6
Paneth,Pla2g2a
Paneth,Itln1
Paneth,Mmp7
Paneth,Gm21002
Paneth,Gm7861
Paneth,Ang4
Paneth,Gm15308
Paneth,Habp2
Paneth,Pnliprp1
Paneth,Gm6696
Paneth,Mptx1
Paneth,Fam46c
Paneth,Samd5
Paneth,Lyz2
Paneth,C4bp
Paneth,1810010D01Rik
Paneth,Apoc2
Paneth,AY761185
Paneth,Defb1
Paneth,Pla2g2f
Paneth,Copz2
Paneth,Scgb2b7
Paneth,Scgb2b19
Paneth,Scgb2b20
Paneth,Klf15
Paneth,Sntb1
Paneth,Ggh
Paneth,Cd244
Paneth,Gm15293
Paneth,Gm7325
Paneth,Fzd9
Paneth,Fgfrl1
Paneth,Tesc
Paneth,Slc1a4
Paneth,Lamb1
Paneth,Darc
Paneth,Ddx26b
Paneth,Slc30a2
Paneth,Hspb8
Paneth,Sync
Paneth,Slc16a7
Paneth,Hapln4
Paneth,Insrr
Paneth,Acvr1c
Paneth,Syne4
Paneth,Acox2
Paneth,Dkk3
Paneth,Ang2
Paneth,Ang6
Paneth,Thbs1
Paneth,Dll3
Paneth,Ang5
Stem,Lgr5
Stem,Gkn3
Stem,Ascl2
Stem,Olfm4
Stem,Rgmb
Stem,Igfbp4
Stem,2210407C18Rik
Stem,Jun
Stem,Pdgfa
Stem,Soat1
Stem,Tnfrsf19
Stem,Cyp2e1
Stem,Fstl1
Stem,H2-Eb1
Stem,Ifitm3
Stem,Prelp
Stem,Scn2b
Stem,A930009A15Rik
Stem,H2-Ab1
Stem,Slc1a2
Stem,Cd74
Stem,Sp5
Stem,Noxa1
Stem,Rgcc
Stem,Sorbs2
Stem,Sectm1b
Stem,H2-Aa
Stem,Cdo1
Stem,Slc14a1
Stem,Clca2
Stem,Tifa
Stem,Pls3
Stem,Hmgcs2
Stem,Arid5b
Stem,Agr3
Stem,Slc12a2
Stem,Rassf5
Stem,Rnf43
Stem,Nrn1
Stem,Lamb3
Stem,Cd44
Stem,Axin2
Stem,Slc27a2
Stem,Afap1l1
Stem,Ccdc3
Stem,Lrig1
Stem,Noxo1
Stem,Cdk6
Stem,Amica1
Stem,Tgif1
Stem,Tns3
Stem,Nr2e3
Stem,Efna4
Stem,Rnf32
Stem,Prss23
Stem,2010009K17Rik
Stem,Smoc2
Stem,Mecom
Stem,Esrrg
Stem,Aqp1
Stem,Znrf3
Stem,Grb7
Stem,Phgdh
Stem,2410004N09Rik
Stem,Clca4
Stem,Aqp4
Stem,Lcp1
Stem,E030011O05Rik
Stem,Snhg1
Stem,BC064078
Stem,Car12
Stem,Zbtb38
Stem,Cdca7
Stem,Fam13a
Stem,Shisa2
Stem,Dtx4
Stem,Slc19a2
Stem,Fam115c
Stem,Mir703
Stem,Cd14
Stem,Mettl20
Stem,Myo9a
Stem,App
Stem,Clic6
Stem,Wee1
Stem,2410006H16Rik
Stem,Lancl1
